Suburb_0	Suburb_1	Suburb_2	Suburb_3	Suburb_4	Suburb_5	Suburb_6	Suburb_7	Suburb_8	Bedrooms	Bathrooms	CarSpots	LandSize	BuildingArea	YearBuilt	CouncilArea_0	CouncilArea_1	CouncilArea_2	CouncilArea_3	CouncilArea_4	CouncilArea_5	Latitude	Longitude	Season	LogDistance	SqrtPropertyCount	Type_t	Type_u	Method_S	Method_SA	Method_SP	Method_VB	RegionName_Eastern Victoria	RegionName_Northern Metropolitan	RegionName_Northern Victoria	RegionName_South-Eastern Metropolitan	RegionName_Southern Metropolitan	RegionName_Western Metropolitan	RegionName_Western Victoria
0	0	0	0	0	0	0	0	1	1.0	1.0	0.0	0.0	91.0	2007.0	0	0	0	0	0	1	-37.7911	144.89	1	2.0014800002101243	87.00574693662483	0	1	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	1	0	4.0	1.0	2.0	499.0	155.0	1920.0	0	0	0	0	1	0	-37.8864	145.0242	1	2.2925347571405443	48.774993593028796	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	1	1	3.0	1.0	1.0	536.0	164.0	1910.0	0	0	0	0	1	1	-37.7555	144.9658	2	2.174751721484161	105.84894897919393	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	2.0	1.0	1.0	36.0	114.0	1910.0	0	0	0	1	0	0	-37.7833	144.8266	2	2.7013612129514133	46.74398357008097	0	1	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0	1	1.0	1.0	0.0	322.0	257.0	2009.0	0	0	0	1	0	1	-37.8198	145.0373	3	1.7227665977411035	106.33908030446756	0	1	0	0	0	1	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	1	1.0	1.0	0.0	30.0	26.0	2013.0	0	0	0	0	0	1	-37.80141	144.89587	1	1.8082887711792655	87.00574693662483	0	1	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	1	0	1.0	1.0	1.0	0.0	108.0	1975.0	0	0	0	0	0	1	-37.798	144.8672	2	2.2192034840549946	71.11961754677819	0	1	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0	0	2.0	1.0	1.0	0.0	111.0	1975.0	0	0	0	1	0	0	-37.7839	144.8239	3	2.7013612129514133	46.74398357008097	0	1	0	0	1	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	1	1	1.0	1.0	1.0	0.0	38.0	1960.0	0	0	0	0	0	1	-37.8089	144.8788	3	2.174751721484161	42.5205832509386	0	1	0	0	0	1	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0	0	1.0	1.0	1.0	1175.0	35.0	1970.0	0	0	0	1	0	0	-37.7849	144.8272	2	2.7013612129514133	46.74398357008097	0	1	0	0	0	1	0	0	0	0	0	1	0
0	0	0	0	0	1	0	0	0	1.0	1.0	0.0	0.0	122.0	1970.0	0	0	0	1	1	0	-37.8078	144.961	3	1.33500106673234	132.2724461102916	0	1	0	0	0	1	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	1	1.0	1.0	1.0	0.0	75.0	1970.0	0	0	0	0	0	1	-37.7878	144.8904	1	2.0014800002101243	87.00574693662483	0	1	0	0	0	1	0	0	0	0	0	1	0
0	0	0	0	0	0	1	1	1	1.0	1.0	1.0	0.0	36.0	1970.0	0	0	0	0	0	1	-37.81	144.8786	1	2.174751721484161	42.5205832509386	0	1	1	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	1	1	1.0	1.0	1.0	0.0	70.0	1970.0	0	0	0	0	0	1	-37.80893	144.87878	1	2.0014800002101243	42.5205832509386	0	1	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	0	0	1	1.0	1.0	1.0	0.0	62.0	1970.0	0	0	0	0	0	1	-37.8087	144.8978	2	2.028148247292285	49.16299421312742	0	1	0	0	0	1	0	0	0	0	0	1	0
0	0	0	0	0	1	0	1	0	2.0	1.0	1.0	0.0	45.0	1970.0	0	0	0	1	1	1	-37.7111	144.9919	3	2.501435951739211	147.13938969562162	0	1	1	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	1	1	1.0	1.0	1.0	0.0	65.0	1970.0	0	0	0	0	0	1	-37.80893	144.87878	3	2.0014800002101243	42.5205832509386	0	1	0	0	1	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	1	1.0	1.0	1.0	0.0	50.0	1970.0	0	0	0	0	0	1	-37.7907	144.8924	2	2.0014800002101243	87.00574693662483	0	1	1	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	0	1	0	1.0	1.0	1.0	0.0	45.0	1970.0	0	0	0	1	1	1	-37.7111	144.9919	3	2.501435951739211	147.13938969562162	0	1	1	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	1	0	1	1	1.0	1.0	0.0	0.0	29.0	2012.0	0	0	1	0	0	0	-37.77154	144.91597	2	1.9740810260220096	78.9430174239622	0	1	1	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	1	1.0	1.0	1.0	0.0	52.0	1970.0	0	0	0	0	0	1	-37.7907	144.8924	2	2.0014800002101243	87.00574693662483	0	1	1	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	0	0	1.0	1.0	1.0	0.0	43.0	1970.0	0	0	1	0	0	1	-37.9428	145.0584	3	2.747270914255491	50.547007824400445	0	1	0	0	0	1	0	0	0	0	1	0	0
0	0	0	0	0	1	1	0	1	1.0	1.0	1.0	0.0	38.0	1970.0	0	0	1	0	1	0	-37.8584	145.0017	3	1.7047480922384253	87.84645695758026	0	1	0	0	1	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	1	1.0	1.0	1.0	1015.0	46.0	1970.0	0	0	0	0	0	1	-37.78778	144.89037	2	1.8082887711792655	87.00574693662483	0	1	0	1	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	0	1	0	2.0	1.0	1.0	82.0	90.0	1970.0	0	0	0	1	1	1	-37.6983	145.0104	3	2.501435951739211	147.13938969562162	0	1	0	0	0	0	0	1	0	0	0	0	0
